單字(Word),中文(Chinese),主題(Topic),音標(Phonetic),難度年級(Grade),拼字音節(Chunks),例句1(Sentence1),例句1中譯(Translation1),例句2(Sentence2),例句2中譯(Translation2)
spider,蜘蛛,Animals,/ˈspaɪ.dɚ/,3,spi/der,A spider is spinning a web in the corner.,一隻蜘蛛正角落裡織網。,A little spider is making its web on the wall.,一隻小蜘蛛正在牆上織網。
turtle,烏龜/海龜,Animals,/ˈtɝː.t̬əl/,3,tur/tle,The turtle walks very slowly but can swim fast.,烏龜爬得很慢但是游得很快。,The small turtle rests on a rock in the park pond.,小烏龜在公園池塘的岩石上休息。
chicken,雞/雞肉,Animals,/ˈtʃɪk.ɪn/,3,chick/en,The farmer feeds the hungry chickens every morning.,農夫每天早上餵飢餓的雞。,The hen walks with three baby chickens in the yard.,母雞帶著三隻小雞在院子裡走動。
elephant,大象,Animals,/ˈel.ə.fənt/,3,ele/phant,The giant elephant is spraying water with its long nose.,大象正用牠的長鼻子噴水。,The elephant uses its long trunk to pick up leaves.,大象用牠的長鼻子來撿樹葉。
butterfly,蝴蝶,Animals,/ˈbʌt̬.ɚ.flaɪ/,3,but/ter/fly,A beautiful butterfly is sitting on the yellow flower.,一隻美麗的蝴蝶停在黃花上。,A beautiful butterfly landed on my sister's shoulder.,一隻美麗的蝴蝶落在她姊姊/妹妹的肩膀上。
bag,書包/提袋,Clothing,/bæɡ/,3,bag,Put your pencil box and textbooks into your bag.,把你的鉛筆盒和教科書放進包包裡。,She packed her lunchbox inside her school bag.,她把便當盒裝進書包裡。
cap,帽子/便帽,Clothing,/kæp/,3,cap,You should wear a cap to block the hot sun.,你應該戴一頂棒球帽來遮擋炎熱的太陽。,He wore a blue baseball cap to school today.,他今天戴了一頂藍色棒球帽上學。
hat,帽子(有邊的),Clothing,/hæt/,3,hat,The magician pulled a cute rabbit out of his hat.,魔術師從他的帽子裡拉出一隻可愛的兔子。,She wore a straw hat to protect her face from the sun.,她戴了一頂草帽以遮陽。
coat,外套/大衣,Clothing,/koʊt/,3,coat,Put on your warm coat before going outside.,出去之前穿上你溫暖的大衣。,Please wear your thick coat because it is cold outside.,因為外面很冷，請穿上你的厚外套。
wear,穿/戴,Actions,/wer/,3,wear,I like to wear comfortable T-shirts on weekends.,我週末喜歡穿舒適的T恤。,Please wear your helmet when you ride a bicycle.,當你騎自行車時請戴安全帽。
dress,洋裝/禮服,Clothing,/dres/,3,dress,She chose a beautiful blue dress for her birthday.,她為她的生日選了一件美麗的藍色洋裝。,My sister wore a white dress to the piano concert.,我妹妹穿著一件白色洋裝去鋼琴音樂會。
pants,長褲,Clothing,/pænts/,9,pants,My father bought a new pair of black pants.,我爸爸買了一條新的黑長褲。,He wore brown pants and a green sweater today.,他今天穿著長褲和綠色毛衣。
shirt,襯衫/男襯衫,Clothing,/ʃɝːt/,7,shirt,He wore a clean white shirt to school today.,他今天穿著乾淨的白襯衫去學校。,My father wears a clean white shirt to work.,我爸爸穿著一件乾淨的白襯衫去工作。
T-shirt,T恤/短袖圓領運動衫,Clothing,/ˈtiː.ʃɝːt/,5,T/shirt,We all wear yellow T-shirts for the school sports day.,我們在學校運動會那天都穿黃色T恤。,My brother wears a white T-shirt to play basketball.,我弟弟穿著一件白色T恤去打籃球。
skirt,裙子,Clothing,/skɝːt/,3,skirt,The school girls wear navy blue skirts as uniforms.,學校的女學生穿深藍色的裙子作為制服。,The girls wore blue skirts for the school show.,女孩們穿著藍色裙子參加學校表演。
socks,襪子(複數),Clothing,/sɑːks/,3,socks,I need to buy some warm socks for winter.,我需要為冬天買一些溫暖的襪子。,I bought two pairs of colorful socks yesterday.,我昨天買了兩雙色彩繽紛的襪子。
jacket,夾克/外套,Clothing,/ˈdʒæk.ɪt/,3,jack/et,"It is cool today, so you should bring a jacket.",今天很涼爽，所以你應該帶件外套。,He forgot his warm jacket at the school playground.,他把保暖夾克忘在學校操場上了。
pocket,口袋,Clothing,/ˈpɑː.kɪt/,3,pock/et,He put the keys into his coat pocket.,他把鑰匙放進大衣口袋裡。,I put my library card in my coat pocket.,我把我的借書證放進了外套口袋。
shorts,短褲,Clothing,/ʃɔːrts/,3,shorts,We like to wear cool shorts during summer vacation.,我們暑假喜歡穿涼爽的短褲。,We wear shorts and T-shirts in summer because it is hot.,因為夏天很熱，所以我們穿短褲和T恤。
shoes,鞋子(複數),Clothing,/ʃuːz/,3,shoes,Take off your shoes before entering the living room.,進客廳前請先脫鞋。,Please take off your shoes before entering the house.,進屋前請先脫鞋。
clothes,衣服/服裝,Clothing,/kloʊðz/,3,clothes,Please help me fold and put away the clean clothes.,請幫我摺疊並收好乾淨的衣服。,Please hang your clean clothes in the wardrobe.,請把你的乾淨衣服掛進衣櫃裡。
glasses,眼鏡/玻璃杯(複數),Clothing,/ˈɡlæs.ɪz/,3,glass/es,Grandpa needs his reading glasses to read the newspaper.,爺爺需要他的老花眼鏡來讀報紙。,My grandfather wears reading glasses to read the newspaper.,我爺爺戴著老花眼鏡看報紙。
sweater,毛衣/針織衫,Clothing,/ˈswet.ɚ/,3,sweater,My grandma knitted a warm red sweater for me.,我奶奶為我織了一件溫暖的紅毛衣。,I wore a soft woolen sweater on the cold windy day.,在寒冷有風的日子我穿了一件柔軟的毛衣。
umbrella,雨傘,Clothing,/ʌmˈbrel.ə/,3,um/brel/la,"Do not forget your umbrella, it is going to rain.",別忘了你的雨傘，要下雨了。,She shared her big umbrella with a classmate in the rain.,她在雨中和一位同學分享了她的大雨傘。
color,顏色/色彩,Colors,/ˈkʌl.ɚ/,3,col/or,"What is your favorite color, blue or green?",你最喜歡什麼顏色，藍色還是綠色？,We use different colors to paint the school wall.,我們用不同的顏色來油漆學校的牆壁。
gray,灰色/灰色的,Colors,/ɡreɪ/,3,gray,The sky turned gray before the heavy rain started.,在大雨開始前，天空變成了灰色。,A little gray mouse ran under the classroom door.,一隻小灰鼠跑進了教室門底下。
pink,粉紅色/粉紅色的,Colors,/pɪŋk/,3,pink,Her room is decorated with pink curtains and toys.,她的房間裝飾著粉紅色的窗簾和玩具。,My sister likes to wear her pink shoes to play.,我妹妹喜歡穿她的粉紅色鞋子出去玩。
black,黑色/黑色的,Colors,/blæk/,3,black,The blackboard in our classroom is very clean now.,我們教室的黑板現在非常乾淨。,The blackboard is clean and ready for our teacher.,黑板很乾淨，準備好給我們的老師了。
brown,棕色/棕色的/褐色,Colors,/braʊn/,3,brown,A cute brown squirrel is eating a nut in the tree.,一隻可愛的棕色松鼠正在樹上吃堅果。,A cute brown rabbit is hopping on the lawn.,一隻可愛的棕色兔子正在草坪上跳躍。
white,白色/白色的,Colors,/waɪt/,3,white,A white fluffy cloud is floating in the blue sky.,一朵白色的蓬鬆雲朵正浮在藍天中。,She wrote on the blackboard with a white chalk.,她用白色粉筆在黑板上寫字。
orange,柳橙/橘色/橘色的,Food,/ˈɔːr.ɪndʒ/,3,or/ange,The orange juice we drank yesterday was sweet.,我們昨天喝的橘子汁很甜。,The sunset sky is a beautiful warm orange today.,今天落日的天空是美麗的溫暖橘色。
purple,紫色/紫色的,Colors,/ˈpɝː.pəl/,3,pur/ple,My mother bought some sweet purple grapes.,我媽媽買了一些甜甜的紫葡萄。,My mother wore a beautiful purple scarf today.,我媽媽今天戴了一條美麗的紫色圍巾。
dad,爸爸,Family,/dæd/,3,dad,My dad took me to the library last Sunday.,我爸爸上星期天帶我去圖書館。,My dad helps me fix my broken toy car.,我爸爸幫我修好壞掉的玩具車。
daddy,爸爸,Family,/ˈdæd.i/,3,dad/dy,"Goodnight, daddy, sleep well and have a good dream.",晚安，爸爸，睡個好覺，做個好夢。,Daddy and I built a small wooden birdhouse yesterday.,爸爸和我昨天建了一個小木鳥屋。
mom,媽媽,Family,/mɑːm/,3,mom,My mom cooks healthy vegetables for us every day.,我媽媽每天為我們做健康的蔬菜。,My mom tells me to eat more fresh fruit.,我媽媽叫我多吃新鮮水果。
mommy,媽媽,Family,/ˈmɑː.mi/,3,mom/my,"Mommy, can you read this bedtime story for me?",媽媽，你可以讀這個床邊故事給我聽嗎？,"Mommy, look at the cute puppy playing in the yard!",媽媽，你看院子裡玩耍的可愛小狗！
parent,家長/雙親/父母,Family,/ˈper.ənt/,3,par/ent,My parents went to the school meeting yesterday.,我父母昨天去參加了學校的會議。,We should always show respect to our parents.,我們應該要孝順/尊重我們的父母。
son,兒子,Family,/sʌn/,3,son,Mr. Wang is very proud of his hard-working son.,王先生對他勤奮的兒子感到非常驕傲。,My uncle is very proud of his helpful son.,我叔叔為他樂於助人的兒子感到非常自豪。
daughter,女兒,Family,/ˈdɑː.t̬ɚ/,3,daugh/ter,They have a young daughter who goes to elementary school.,他們有一個讀國小的小女兒。,The mother and her daughter are drawing pictures together.,母親和她的女兒正在一起畫畫。
family,家庭/家人,Family,/ˈfæm.ə.li/,3,fam/i/ly,We are a happy family and support each other.,我們是一個快樂的家庭，互相支持。,Family support is very important when we face challenges.,當我們面對挑戰時，家人的支持非常重要。
grandfather,爺爺/外公,Family,/ˈɡræn.fɑː.ðɚ/,3,grand/fa/ther,My grandfather likes to practice Tai Chi in the park.,我祖父喜歡在公園裡練太極拳。,My grandfather walks with a cane in the garden.,我祖父/爺爺拿著拐杖在花園裡散步。
grandpa,爺爺/外公,Family,/ˈɡræn.pɑː/,3,grand/pa,Grandpa tells us exciting stories from his childhood.,爺爺跟我們講他童年時的精彩故事。,Grandpa teaches me how to play chess on weekends.,爺爺週末教我如何下棋。
grandmother,奶奶/外婆,Family,/ˈɡræn.mʌð.ɚ/,3,grand/moth/er,My grandmother grows beautiful roses in her small garden.,我祖母在她的花園裡種植美麗的玫瑰。,My grandmother likes to grow roses in her garden.,我祖母喜歡在她的花園裡種植玫瑰花。
grandma,奶奶/外婆,Family,/ˈɡræn.mɑː/,3,grand/ma,My grandma knitted a pair of wool socks for me.,我奶奶為我織了一雙羊毛襪。,Grandma baked some sweet cookies for my birthday party.,奶奶為我的生日派對烤了一些甜餅乾。
aunt,阿姨/姑姑/嬸嬸/伯母/舅媽,Family,/ænt/,3,aunt,My aunt bought me a new schoolbag for my birthday.,我姑姑買了一個新書包送我當生日禮物。,My aunt invited us to her home for a dinner.,我阿姨/姑姑邀請我們去她家吃晚餐。
uncle,叔叔/伯伯/舅舅/阿姨/姑丈,Family,/ˈʌŋ.kəl/,3,un/cle,My uncle lives in New York and works in a bank.,我叔叔住在紐約，在銀行工作。,My uncle works as a kind doctor in the hospital.,我叔叔在醫院裡當一名親切的醫生。
grow,種植/生長/成長,Actions,/ɡroʊ/,3,grow,Vegetables need clean water and sunshine to grow.,蔬菜需要乾淨的水和陽光才能生長。,We can watch the green seeds grow into tall plants.,我們可以看著綠色的種子長成高大的植物。
cousin,堂兄弟姊妹/表兄弟姊妹,Family,/ˈkʌz.ən/,3,cousin,My cousin is coming to stay with us next week.,我表哥下週要來和我們一起住。,My cousin and I share the same favorite storybook.,我的表兄弟/堂兄弟和我有著相同最喜歡的故事書。
live,居住/生活/活的,Actions,/lɪv/,3,live,Polar bears live in the cold Arctic region.,北極熊居住在寒冷的北極地區。,We live in a beautiful and clean neighborhood.,我們住在一個美麗且乾淨的社區。
fruit,水果,Food,/fruːt/,3,fruit,Eating fresh fruit is very good for your health.,吃新鮮水果對你的健康非常有益。,We should eat fresh fruit every day to stay healthy.,我們應該每天吃新鮮水果來保持健康。
peach,桃子/水蜜桃,Food,/piːtʃ/,3,peach,"The pink peach is soft, juicy and very sweet.",粉紅色的桃子又軟、又多汁而且非常甜。,This ripe peach tastes sweet and is full of juice.,這顆成熟的桃子嚐起來很甜，而且多汁。
lemon,檸檬,Food,/ˈlem.ən/,3,lemon,Lemon juice tastes sour but smells very fresh.,檸檬汁吃起來酸，但是聞起來非常清香。,"A lemon tastes very sour, but it is healthy.",檸檬嚐起來非常酸，但它對健康有益。
grape,葡萄,Food,/ɡreɪp/,3,grape,She washed a bowl of purple grapes for her guests.,她為客人洗了一碗紫葡萄。,My sister shared a bunch of sweet purple grapes with me.,我妹妹和我分享了一串甜甜的紫葡萄。
strawberry,草莓,Food,/ˈstrɑː.ber.i/,3,straw/ber/ry,I like to eat strawberry ice cream in summer.,我夏天喜歡吃草莓冰淇淋。,We like to put fresh strawberries on our ice cream.,我們喜歡在冰淇淋上放新鮮草莓。
watermelon,西瓜,Food,/ˈwɑː.t̬ɚˌmel.ən/,3,wa/ter/mel/on,Watermelon is the best fruit for hot summer days.,西瓜是炎熱夏天裡最好的水果。,Eating cold watermelon in summer is very cool.,夏天吃冰涼的西瓜非常消暑。
breakfast,早餐,Food,/ˈbrek.fəst/,3,break/fast,What did you have for your breakfast this morning?,你今天早上早餐吃了什麼？,I always eat a healthy breakfast before going to school.,我上學前總是會吃一頓健康的早餐。
