單字(Word),中文(Chinese),主題(Topic),音標(Phonetic),難度年級(Grade),拼字音節(Chunks),例句(Sentence),例句中譯(Translation)
pencil,鉛筆,School,,3,pen/cil,Can I borrow a pencil to write my name?,我可以借一支鉛筆來寫我的名字嗎？
desk,書桌,School,,3,desk,Please put your books back onto your desk.,請把你的書放回你的課桌上。
chair,椅子,School,,3,chair,Tim sits on the wooden chair next to the window.,提姆坐在靠窗的木椅上。
dog,狗,Animals,,3,dog,The friendly dog is wagging its tail at us.,那隻友好的狗正在向我們搖尾巴。
cat,貓,Animals,,3,cat,A small black cat is sleeping under the table.,一隻黑色的小貓正在桌子底下睡覺。
bird,鳥,Animals,,3,bird,A beautiful blue bird is singing in the tree.,一隻美麗的藍鳥正在樹上唱歌。
fish,魚,Animals,,3,fish,There are many colorful fish swimming in the pond.,池塘裡有許多色彩繽紛的魚在游泳。
milk,牛奶,Food,,3,milk,Drinking a glass of hot milk before bed helps you sleep.,睡前喝一杯熱牛奶有助於睡眠。
water,水,Food,,3,wa/ter,"Please give me a glass of cold water, please.",請給我一杯冰水，謝謝。
rice,飯,Food,,4,rice,We usually eat rice and vegetables for dinner.,我們晚餐通常吃米飯和蔬菜。
noodles,麵,Food,,4,noo/dles,Grandpa likes to eat hot beef noodles for lunch.,爺爺中午喜歡吃熱牛肉麵。
red,紅色,Colors,,3,red,She wore a pretty red dress to the party.,她穿著一件漂亮的紅洋裝去參加派對。
blue,藍色,Colors,,3,blue,The sky is very clear and blue today.,今天的晴空非常清澈且蔚藍。
green,綠色,Colors,,3,green,The frogs are sitting on a big green leaf.,青蛙正坐在一個綠色的大葉子上。
yellow,黃色,Colors,,3,yel/low,The yellow school bus stops in front of my house.,黃色的校車停在我家前面。
one,一,Numbers,,3,one,I have only one apple left in my bag.,我的包包裡只剩下一個蘋果。
two,二,Numbers,,3,two,There are two birds flying in the sky.,天上有兩隻鳥在飛。
three,三,Numbers,,3,three,He has three storybooks in his desk drawer.,他的書桌抽屜裡有三本故事書。
four,四,Numbers,,3,four,A year is divided into four different seasons.,一年被分為四個不同的季節。
head,頭,Body,,4,head,You should wear a helmet to protect your head.,你應該戴安全帽來保護你的頭部。
hand,手,Body,,4,hand,Please raise your hand if you know the answer.,如果你知道答案，請舉手。
eye,眼睛,Body,,4,eye,Keep your eyes open and look at the screen.,張開眼睛看著螢幕。
foot,腳,Body,,4,foot,He hurt his left foot while playing soccer.,他在踢足球時弄傷了左腳。
run,跑,Actions,,4,run,Do not run in the hallway; it is dangerous.,不要在走廊上奔跑，那很危險。
jump,跳,Actions,,4,jump,The energetic children love to jump on the trampoline.,精力充沛的孩子們喜歡在彈簧床上跳躍。
read,閱讀,Actions,,4,read,We read English stories in class every Tuesday.,我們每個星期二在課堂上讀英文故事。
write,書寫,Actions,,4,write,You need to write your name on this paper.,你需要這張紙上寫下你的名字。
morning,早上,Time,,5,morn/ing,We say good morning to our teachers at school.,我們在學校跟老師們說早安。
afternoon,下午,Time,,5,af/ter/noon,Let us play basketball in the playground this afternoon.,我們今天下午去操場打籃球吧。
today,今天,Time,,5,to/day,What is the weather like in Taipei today?,今天台北的天氣怎麼樣？
happy,快樂的,Adjectives,,7,hap/py,We are very happy to hear the good news.,我們聽到這個好消息感到非常高興。
difficult,困難的,Adjectives,,7,dif/fi/cult,This math question is too difficult for me to solve.,這道數學題對我來說太難解了。
bee,蜜蜂,Animals,,3,bee,A busy bee is flying around the colorful flowers.,一隻忙碌的蜜蜂正在繽紛的花朵旁飛舞。
cow,乳牛,Animals,,3,cow,The cow eats green grass on the beautiful farm.,母牛在美麗的農場上吃綠草。
pet,寵物,Animals,,3,pet,A rabbit can be a wonderful pet for children.,兔子可以是孩子們極佳的寵物。
pig,豬,Animals,,3,pig,The pink pig is playing happily in the mud.,這隻粉紅色的豬正在泥巴裡玩得很高興。
bear,熊,Animals,,3,bear,We saw a big brown bear sleeping in the cave.,我們看到一隻大棕熊在洞穴裡睡覺。
duck,鴨子,Animals,,3,duck,The little duck swims behind its mother in the pond.,小鴨在池塘裡跟在牠媽媽後面游泳。
frog,⻘蛙,Animals,,3,frog,A green frog jumped out of the clean water.,一隻綠色的青蛙從乾淨的水中跳了出來。
lion,獅子,Animals,,3,li/on,The lion is known as the king of the forest.,獅子被稱為森林之王。
mice,老鼠(複數),Animals,,3,mice,Our cat caught three small mice last night.,我們的小貓昨晚抓到了三隻小老鼠。
hippo,河馬,Animals,,3,hip/po,The hippo stays in the water to keep cool.,河馬待在水裡以保持涼爽。
horse,馬,Animals,,3,horse,The cowboy rode a fast black horse yesterday.,牛仔昨天騎著一隻跑得很快的黑馬。
koala,無尾熊,Animals,,3,koala,A cute koala is hugging the eucalyptus tree.,一隻可愛的無尾熊正抱著尤加利樹。
mouse,老鼠,Animals,,3,mouse,The clever little mouse escaped from the cat.,聰明的小老鼠從貓咪手裡逃脫了。
panda,大熊貓,Animals,,3,pan/da,The giant panda is eating fresh bamboo leaves.,大貓熊正在吃新鮮的竹葉。
sheep,綿羊,Animals,,3,sheep,A group of white sheep are grazing on the hill.,一群白羊正在山丘上吃草。
snake,蛇,Animals,,3,snake,Be careful! There is a long snake in the grass.,小心！草叢裡有一條長蛇。
whale,鯨魚,Animals,,3,whale,The blue whale is the largest animal in the ocean.,藍鯨是海洋中最大的動物。
zebra,斑馬,Animals,,3,ze/bra,The zebra has beautiful black and white stripes.,斑馬有美麗的黑白條紋。
animal,動物,Animals,,3,an/i/mal,We should protect wild animals and their forests.,我們應該保護野生動物和牠們的森林。
monkey,猴子,Animals,,3,mon/key,The funny monkey is climbing the tall banana tree.,這隻有趣的猴子正在爬高高的香蕉樹。
spider,蜘蛛,Animals,,3,spi/der,A spider is spinning a web in the corner.,一隻蜘蛛正角落裡織網。
turtle,烏龜,Animals,,3,tur/tle,The turtle walks very slowly but can swim fast.,烏龜爬得很慢但是游得很快。
chicken,雞,Animals,,3,chick/en,The farmer feeds the hungry chickens every morning.,農夫每天早上餵飢餓的雞。
elephant,大象,Animals,,3,ele/phant,The giant elephant is spraying water with its long nose.,大象正用牠的長鼻子噴水。
butterfly,蝴蝶,Animals,,3,but/ter/fly,A beautiful butterfly is sitting on the yellow flower.,一隻美麗的蝴蝶停在黃花上。
bag,袋子,Clothing,,3,bag,Put your pencil box and textbooks into your bag.,把你的鉛筆盒和教科書放進包包裡。
cap,棒球帽,Clothing,,3,cap,You should wear a cap to block the hot sun.,你應該戴一頂棒球帽來遮擋炎熱的太陽。
hat,帽子,Clothing,,3,hat,The magician pulled a cute rabbit out of his hat.,魔術師從他的帽子裡拉出一隻可愛的兔子。
coat,外套,Clothing,,3,coat,Put on your warm coat before going outside.,出去之前穿上你溫暖的大衣。
wear,穿、戴,Actions,,3,wear,I like to wear comfortable T-shirts on weekends.,我週末喜歡穿舒適的T恤。
dress,洋裝,Clothing,,3,dress,She chose a beautiful blue dress for her birthday.,她為她的生日選了一件美麗的藍色洋裝。
pants,長褲,Clothing,,9,pants,My father bought a new pair of black pants.,我爸爸買了一條新的黑長褲。
shirt,襯衫,Clothing,,7,shirt,He wore a clean white shirt to school today.,他今天穿著乾淨的白襯衫去學校。
T-shirt,T恤,Clothing,,5,T/shirt,We all wear yellow T-shirts for the school sports day.,我們在學校運動會那天都穿黃色T恤。
skirt,裙子,Clothing,,3,skirt,The school girls wear navy blue skirts as uniforms.,學校的女學生穿深藍色的裙子作為制服。
socks,襪子,Clothing,,3,socks,I need to buy some warm socks for winter.,我需要為冬天買一些溫暖的襪子。
jacket,夾克、外套,Clothing,,3,jack/et,"It is cool today, so you should bring a jacket.",今天很涼爽，所以你應該帶件外套。
pocket,口袋,Clothing,,3,pock/et,He put the keys into his coat pocket.,他把鑰匙放進大衣口袋裡。
shorts,短褲,Clothing,,3,shorts,We like to wear cool shorts during summer vacation.,我們暑假喜歡穿涼爽的短褲。
shoes,鞋子,Clothing,,3,shoes,Take off your shoes before entering the living room.,進客廳前請先脫鞋。
clothes,衣服,Clothing,,3,clothes,Please help me fold and put away the clean clothes.,請幫我摺疊並收好乾淨的衣服。
glasses,眼鏡,Clothing,,3,glass/es,Grandpa needs his reading glasses to read the newspaper.,爺爺需要他的老花眼鏡來讀報紙。
sweater,毛衣,Clothing,,3,sweater,My grandma knitted a warm red sweater for me.,我奶奶為我織了一件溫暖的紅毛衣。
umbrella,傘,Clothing,,3,um/brel/la,"Do not forget your umbrella, it is going to rain.",別忘了你的雨傘，要下雨了。
color,顏色,Colors,,3,col/or,"What is your favorite color, blue or green?",你最喜歡什麼顏色，藍色還是綠色？
gray,灰色的,Colors,,3,gray,The sky turned gray before the heavy rain started.,在大雨開始前，天空變成了灰色。
pink,粉紅色的,Colors,,3,pink,Her room is decorated with pink curtains and toys.,她的房間裝飾著粉紅色的窗簾和玩具。
black,黑色的,Colors,,3,black,The blackboard in our classroom is very clean now.,我們教室的黑板現在非常乾淨。
brown,咖啡色的,Colors,,3,brown,A cute brown squirrel is eating a nut in the tree.,一隻可愛的棕色松鼠正在樹上吃堅果。
white,白色的,Colors,,3,white,A white fluffy cloud is floating in the blue sky.,一朵白色的蓬鬆雲朵正浮在藍天中。
orange,橘子,Food,,3,or/ange,The orange juice we drank yesterday was sweet.,我們昨天喝的橘子汁很甜。
purple,紫色的,Colors,,3,pur/ple,My mother bought some sweet purple grapes.,我媽媽買了一些甜甜的紫葡萄。
dad,爸爸,Family,,3,dad,My dad took me to the library last Sunday.,我爸爸上星期天帶我去圖書館。
daddy,爸爸,Family,,3,dad/dy,"Goodnight, daddy, sleep well and have a good dream.",晚安，爸爸，睡個好覺，做個好夢。
mom,媽媽,Family,,3,mom,My mom cooks healthy vegetables for us every day.,我媽媽每天為我們做健康的蔬菜。
mommy,媽媽,Family,,3,mom/my,"Mommy, can you read this bedtime story for me?",媽媽，你可以讀這個床邊故事給我聽嗎？
parent,父親或⺟親,Family,,3,par/ent,My parents went to the school meeting yesterday.,我父母昨天去參加了學校的會議。
son,兒子,Family,,3,son,Mr. Wang is very proud of his hard-working son.,王先生對他勤奮的兒子感到非常驕傲。
daughter,女兒,Family,,3,daugh/ter,They have a young daughter who goes to elementary school.,他們有一個讀國小的小女兒。
family,家庭;家人,Family,,3,fam/i/ly,We are a happy family and support each other.,我們是一個快樂的家庭，互相支持。
grandfather,外公;爺爺,Family,,3,grand/fa/ther,My grandfather likes to practice Tai Chi in the park.,我祖父喜歡在公園裡練太極拳。
grandpa,外公;爺爺,Family,,3,grand/pa,Grandpa tells us exciting stories from his childhood.,爺爺跟我們講他童年時的精彩故事。
grandmother,外婆;奶奶,Family,,3,grand/moth/er,My grandmother grows beautiful roses in her small garden.,我祖母在她的花園裡種植美麗的玫瑰。
grandma,外婆;奶奶,Family,,3,grand/ma,My grandma knitted a pair of wool socks for me.,我奶奶為我織了一雙羊毛襪。
aunt,阿姨;姑姑;伯⺟;舅媽,Family,,3,aunt,My aunt bought me a new schoolbag for my birthday.,我姑姑買了一個新書包送我當生日禮物。
uncle,叔叔;舅舅;姑丈;姨丈,Family,,3,un/cle,My uncle lives in New York and works in a bank.,我叔叔住在紐約，在銀行工作。
grow,成長;長大,Actions,,3,grow,Vegetables need clean water and sunshine to grow.,蔬菜需要乾淨的水和陽光才能生長。
cousin,堂兄(弟、姊、妹),Family,,3,cousin,My cousin is coming to stay with us next week.,我表哥下週要來和我們一起住。
live,居住,Actions,,3,live,Polar bears live in the cold Arctic region.,北極熊居住在寒冷的北極地區。
fruit,水果,Food,,3,fruit,Eating fresh fruit is very good for your health.,吃新鮮水果對你的健康非常有益。
peach,桃子,Food,,3,peach,"The pink peach is soft, juicy and very sweet.",粉紅色的桃子又軟、又多汁而且非常甜。
lemon,檸檬,Food,,3,lemon,Lemon juice tastes sour but smells very fresh.,檸檬汁吃起來酸，但是聞起來非常清香。
grape,葡萄,Food,,3,grape,She washed a bowl of purple grapes for her guests.,她為客人洗了一碗紫葡萄。
strawberry,草莓,Food,,3,straw/ber/ry,I like to eat strawberry ice cream in summer.,我夏天喜歡吃草莓冰淇淋。
watermelon,西瓜,Food,,3,wa/ter/mel/on,Watermelon is the best fruit for hot summer days.,西瓜是炎熱夏天裡最好的水果。
breakfast,早餐,Food,,3,break/fast,What did you have for your breakfast this morning?,你今天早上早餐吃了什麼？
lunch,午餐,Food,,3,lunch,We usually have lunch at the school cafeteria.,我們通常在學校食堂吃午餐。
dinner,晚餐,Food,,3,din/ner,The family sits together to enjoy their dinner.,全家人坐在一起享受他們的晚餐。
drink,喝,Actions,,3,drink,You should drink a cup of warm water first.,你應該先喝一杯溫開水。
tea,茶,Food,,3,tea,My grandmother likes to drink hot black tea.,我祖母喜歡喝熱紅茶。
egg,蛋,Food,,3,egg,I eat a boiled egg every morning for breakfast.,我每天早上吃一個水煮蛋當早餐。
bread,麵包,Food,,3,bread,The baker makes delicious fresh bread every morning.,麵包師每天早上做出美味的新鮮麵包。
pie,派,Food,,3,pie,Grandma baked an apple pie for our family dinner.,阿嬤為我們的家庭晚餐烤了一個蘋果派。
eat,吃,Food,,3,eat,Remember to wash your hands before you eat.,吃東西前記得先洗手。
cook,做飯,Actions,,3,cook,My father likes to cook spaghetti on weekends.,我爸爸週末喜歡煮義大利麵。
soup,湯,Food,,3,soup,The hot corn soup is perfect for cold winter days.,熱玉米濃湯在寒冷的冬日裡再適合不過了。
food,食物,Food,,3,food,Taiwan is famous for its delicious street food.,台灣以美味的街頭小吃聞名。
beef,牛肉,Food,,3,beef,We ordered some beef noodles at the restaurant.,我們在餐廳點了一些牛肉麵。
pork,豬肉,Food,,3,pork,Pork dumplings are very popular in this restaurant.,豬肉餃子在這家餐廳非常受歡迎。
cake,蛋糕,Food,,3,cake,She blew out the candles on her birthday cake.,她吹熄了生日蛋糕上的蠟燭。
Coke,可樂,Food,,3,Coke,Drinking too much sweet coke is bad for your teeth.,喝太多甜可樂對你的牙齒不好。
meal,餐,Food,,3,meal,Breakfast is the most important meal of the day.,早餐是一天中最重要的一餐。
juice,果汁,Food,,3,juice,Fresh orange juice is full of vitamins.,新鮮的柳橙汁富含維他命。
candy,糖果,Food,,3,can/dy,Do not eat too much sweet candy before bed.,睡前不要吃太多甜的糖果。
salad,沙拉,Food,,3,sal/ad,She prepared a fresh vegetable salad for lunch.,她午餐準備了一份新鮮的蔬菜沙拉。
pizza,披薩,Food,,3,piz/za,We ordered a large cheese pizza for the party.,我們為派對點了一個大起司披薩。
full,飽,Adjectives,,3,full,I am full after eating three plates of rice.,吃了三盤飯後我已經飽了。
dumpling,水餃,Food,,3,dumpling,My mom makes delicious pork dumplings on weekends.,我媽媽週末會包美味的豬肉水餃。
hungry,餓的,Adjectives,,3,hun/gry,"If you are hungry, you can eat these biscuits.",如果你餓了，你可以吃這些餅乾。
taste,嚐起來,Actions,,3,taste,The soup tastes delicious but a little bit salty.,這湯喝起來很美味，但有一點鹹。
thirsty,渴的,Adjectives,,3,thirsty,"After playing soccer, the boys were very thirsty.",踢完足球後，男孩子們都非常口渴。
yummy,美味好吃的,Adjectives,,3,yum/my,The chocolate cake Grandma made was very yummy.,阿嬤做的巧克力蛋糕非常美味。
pumpkin,南瓜,Food,,3,pump/kin,We carved a funny face on the Halloween pumpkin.,我們在萬聖節南瓜上雕刻了一個有趣的臉。
ice cream,冰淇淋,Food,,3,ice/cream,Children love to eat sweet vanilla ice cream in summer.,孩子們夏天喜歡吃甜香草冰淇淋。
sweet,甜的,Adjectives,,3,sweet,These ripe strawberries are very red and sweet.,這些熟透的草莓又紅又甜。
sandwich,三明治,Food,,3,sand/wich,I made a ham and cheese sandwich for my lunch.,我為我的午餐做了一個火腿起司三明治。
chocolate,巧克力,Food,,3,choco/late,She bought a box of dark chocolate from Belgium.,她買了一盒比利時黑巧克力。
hamburger,漢堡,Food,,3,ham/burg/er,He ordered a beef hamburger and some french fries.,他點了一個牛肉漢堡和一些薯條。
French,薯條,Food,,3,French,We ordered some hot french fries at the fast-food shop.,我們在速食店點了一些熱薯條。
fries,你最喜歡的食物是？,Food,,3,fries,The crispy fries taste great with tomato sauce.,脆脆的薯條搭配番茄醬味道很棒。
name,名字,Forms,,3,name,Please write down your name and phone number here.,請在這裡寫下您的名字和電話號碼。
Miss/Ms,小姐,Forms,,3,Mis/s/Ms,Ms. Lin is our new school principal this year.,林女士是我們今年新來的學校校長。
Mr,先生,Forms,,3,Mr,Mr. Brown teaches us math and is very funny.,布朗先生教我們數學而且非常幽默。
Mrs,太太(已婚),Forms,,3,Mrs,Mrs. Green gave us some sweet cookies yesterday.,格林太太昨天給了我們一些甜餅乾。
sea,海,Geographical,,3,sea,We saw a big ship sailing on the blue sea.,我們看到一隻大船在藍色的大海上航行。
lake,湖,Geographical,,3,lake,The water in the lake is clear and calm.,湖水非常清澈而且平靜。
beach,海灘,Geographical,,3,beach,We built a tall sandcastle on the sandy beach.,我們在沙灘上建了一座高高的沙堡。
river,河流,Geographical,,3,riv/er,Many fish are swimming in this clean mountain river.,許多魚在這條乾淨的山區河流中游泳。
mountain,山,Geographical,,3,moun/tain,They plan to climb the highest mountain in Taiwan.,他們計劃攀登台灣最高的山。
forest,森林,Geographical,,3,for/est,There are many tall green trees in the forest.,森林裡有許多高大的綠樹。
volcano,火山,Geographical,,3,vol/cano,The volcano has not erupted for a thousand years.,這座火山已經一千年沒有噴發了。
desert,沙漠,Geographical,,3,desert,Camels can walk in the hot desert without water.,駱駝可以在炎熱的沙漠中行走而不需要水。
island,島嶼,Geographical,,3,is/land,They spent their summer vacation on a tropical island.,他們在一個熱帶島嶼上度過了暑假。
Easter,復活節,Holidays,,3,East/er,Children love to search for colorful Easter eggs.,孩子們喜歡尋找色彩繽紛的復活節彩蛋。
Halloween,萬聖節,Holidays,,3,Hal/loween,We dressed up in scary clothes for Halloween.,我們在萬聖節穿上了可怕的衣服裝扮。
Christmas,聖誕節,Holidays,,3,Christ/mas,We decorated the big Christmas tree with sparkling lights.,我們用閃閃發光的燈飾裝飾了大聖誕樹。
Moon,月亮,Weather & nature,,3,Moon,The moon shines brightly in the clear night sky.,月亮在晴朗的夜空中明亮地照耀著。
Festival,端午節,Holidays,,3,Fes/ti/val,The Mid-Autumn Festival is a time for family reunion.,中秋節是家人團圓的時刻。
well,好的、健康的,Health,,3,well,My grandmother feels well after resting in bed.,我奶奶在床上休息後感覺好多了。
sick,生病的,Health,,3,sick,He did not go to school because he was sick.,他因為生病而沒有去上學。
cold,感冒,Health,,3,cold,Drink hot soup when you have a bad cold.,當你感冒嚴重時，多喝熱湯。
strong,強壯的,Health,,3,strong,He is strong enough to lift the heavy box.,他足夠強壯以搬起這個重箱子。
tired,疲累的,Health,,3,tired,I was tired after riding my bike for two hours.,騎了兩小時腳踏車後，我感到很累。
toothache,牙痛,Health,,3,toothache,The little girl cried because she had a toothache.,小女孩哭了，因為她牙痛。
headache,頭痛,Health,,3,headache,My mother has a bad headache today.,我媽媽今天頭痛得很厲害。
key,鑰匙,House,,3,key,I cannot find the key to my bedroom door.,我找不到我臥室門的鑰匙。
fan,電扇,House,,3,fan,"Please turn on the fan, the classroom is hot.",請打開電風扇，教室很熱。
bed,床,House,,3,bed,"It is time to go to bed; goodnight, children.",該去睡覺了；晚安，孩子們。
house,家,House,,3,house,They live in a beautiful house with a garden.,他們住在一棟帶花園的美麗房子裡。
wall,牆壁,House,,3,wall,We hung a big map of Taiwan on the classroom wall.,我們在教室的牆上掛了一幅台灣大地圖。
mop,用拖把拖地,House,,3,mop,Use the clean mop to clean the kitchen floor.,用乾淨的拖把來清潔廚房地板。
door,門,House,,3,door,Please close the door behind you when you leave.,你離開時請隨手關門。
lamp,燈,House,,3,lamp,He reads a book under the bright desk lamp.,他在明亮的檯燈下看書。
sweep,掃,Actions,,3,sweep,Please help me sweep the leaves on the ground.,請幫我掃地上的樹葉。
wash,洗,Actions,,3,wash,You should wash your hands before eating dinner.,你在吃晚餐前應該要洗手。
home,家庭,House,,3,home,I will stay at home and watch TV tonight.,我今天晚上會待在家裡看電視。
table,桌子,House,,3,ta/ble,We put the vase of flowers on the wooden table.,我們把花瓶放在木桌上。
towel,毛巾,House,,3,tow/el,Dry your face with a clean and soft towel.,用乾淨又柔軟的毛巾擦乾你的臉。
floor,地板,House,,3,floor,The clean floor is too slippery; walk carefully.,乾淨的地板太滑了，走路請小心。
shelf,架子,House,,3,shelf,I put my new books back onto the bookshelf.,我把我的新書放回書架上。
garden,院子、花園,House,,3,gar/den,Grandpa grows sweet red strawberries in his garden.,爺爺在他的花園裡種植甜甜的紅草莓。
shower,淋浴,House,,3,show/er,I take a warm shower after playing basketball.,我打完籃球後會洗個熱水澡。
TV,電視,House,,5,TV,We watched an interesting science show on TV.,我們在電視上觀看了一個有趣的科學節目。
computer,電腦,House,,3,com/put/er,We use the computer to look up English words.,我們使用電腦來查詢英文單字。
refrigerator,電冰箱,House,,3,re/frig/er/a/tor,Keep the fresh milk and cheese in the refrigerator.,把新鮮牛奶和起司保存在冰箱裡。
clean,乾淨的,Adjectives,,3,clean,Please help me clean the dirty windows this afternoon.,今天下午請幫我清潔髒窗戶。
bedroom,臥室,House,,3,bed/room,My bedroom has a small desk and a warm bed.,我的臥室有一張小書桌和一張溫暖的床。
dining,(家裡的)餐廳,House,,3,din/ing,The family had dinner together in the dining room.,全家人在餐廳一起吃晚餐。
room,客廳,House,,3,room,Our living room is very bright and cozy.,我們的客廳非常明亮而且溫馨。
buy,買,Actions,,3,buy,I want to buy a new box of crayons.,我想買一盒新的蠟筆。
free,免費,Money,,3,free,Children under six can enter the zoo for free.,六歲以下的孩子可以免費進入動物園。
money,錢,Money,,3,mon/ey,She saved some money to buy a storybook.,她存了一些錢來買一本故事書。
dollar,美元,Money,,3,dol/lar,A cup of bubble tea costs fifty New Taiwan dollars.,一杯珍珠奶茶要五十元新台幣。
new,新的,Adjectives,,3,new,He has a new blue schoolbag for the school year.,他新學年有一個新的藍色書包。
number,數字,Numbers,,3,num/ber,Seven is my sister's favorite and lucky number.,七是我妹妹最喜歡且幸運的數字。
all,全部,Numbers,,3,all,The students in the classroom were all quiet.,教室裡的學生們全都非常安靜。
both,兩個都,Numbers,,3,both,Both of my brothers like to play basketball.,我的兩個哥哥都喜歡打籃球。
much,許多,Numbers,,3,much,How much water should we drink every day?,我們每天應該喝多少水？
many,許多,Numbers,,3,many,How many students are there in your class?,你們班上有多少位學生？
more,更多、較多,Numbers,,3,more,I want to read more books during the holiday.,我希望在假期期間讀更多的書。
some,一些,Numbers,,3,some,My mom prepared some fresh fruits for us.,我媽媽為我們準備了一些新鮮水果。
first,第一,Numbers,,3,first,He won the first prize in the English speaking contest.,他在英語演講比賽中贏得了一等獎。
second,第二,Numbers,,3,sec/ond,This is the second time I visit this beautiful museum.,這是我第二次造訪這座美麗的博物館。
third,第三,Numbers,,3,third,Her classroom is on the third floor of the school.,她的教室在學校的三樓。
last,最後的,Numbers,,3,last,December is the last month of the year.,十二月是一年中的最後一個月。
job,工作、職業,Occupations,,3,job,A teacher's job is to help students learn.,老師的工作是幫助學生學習。
work,工作,Occupations,,3,work,Our parents work hard to take care of the family.,我們的父母努力工作以照顧家庭。
worker,工作者,Occupations,,3,work/er,The factory workers wear blue uniforms and helmets.,工廠工人穿著藍色制服戴安全帽。
actor,男演員,Occupations,,3,ac/tor,He wants to be a famous movie actor when he grows up.,他長大後想成為一名著名的電影演員。
actress,女演員,Occupations,,3,ac/tress,The actress wore a beautiful red dress on stage.,這位女演員在舞台上穿著一件美麗的紅洋裝。
singer,歌手,Occupations,,3,singer,The young singer has a very beautiful voice.,這位年輕的歌手擁有非常美麗的嗓音。
driver,司機駕駛員,Occupations,,3,driv/er,The bus driver is very polite and always smiles.,這位公車司機非常禮貌而且總是微笑。
farmer,農夫,Occupations,,3,farmer,The farmer grows fresh vegetables and rice on his farm.,農夫在他的農場上種植新鮮蔬菜和稻米。
mailman,郵差,Occupations,,3,mail/man,The mailman delivered a package to our house yesterday.,郵差昨天送了一個包裹到我們家。
waiter,男服務生,Occupations,,3,wait/er,The waiter in the restaurant is very helpful.,這家餐廳的服務生非常熱心。
waitress,女服務生,Occupations,,3,wait/ress,The waitress served us hot corn soup and bread.,女服務生為我們端來熱玉米濃湯和麵包。
soldier,軍人,Occupations,,3,sol/dier,The brave soldiers protect their country and people.,勇敢的士兵們保護他們的國家和人民。
police officer,警察,Occupations,,3,po/lice/of/fi/cer,The police officer helped the lost boy find his mother.,警察幫助迷路的小男孩找到了他的媽媽。
hair,頭髮,Body,,3,hair,Her sister has long black hair and big eyes.,她姐姐有長長的黑髮和大眼睛。
face,臉,Body,,3,face,Remember to wash your face every morning.,記得每天早上洗臉。
nose,鼻,Body,,3,nose,My nose is red because I have a cold.,因為感冒，我的鼻子紅紅的。
ear,耳朵,Body,,3,ear,We have two ears to listen to beautiful music.,我們有兩隻耳朵來聽美妙的音樂。
mouth,嘴巴,Body,,3,mouth,Open your mouth and show me your white teeth.,張開你的嘴，讓我看看你白白的牙齒。
tooth,牙齒,Body,,3,tooth,He lost a baby tooth and put it under his pillow.,他掉了一顆乳牙，把它放在枕頭底下。
leg,腿,Body,,3,leg,Flamingos stand on one leg when they sleep.,紅鶴睡覺時只用一隻腳站立。
teeth,牙齒(複數),Body,,3,teeth,You should brush your teeth at least twice a day.,你每天應該至少刷牙兩次。
