word_id,word,sense_id,zh_tw,topic,difficulty_level,example_1_id,example_1_en,example_1_zh_tw,example_1_target,example_1_review_status,example_2_id,example_2_en,example_2_zh_tw,example_2_target,example_2_review_status,example_3_en_draft,example_3_zh_tw_draft,example_3_target,semantic_group,part_of_speech,review_decision,review_notes
passport-water,water,passport-water,水,Food,6,passport-water-ex1,"Please give me a glass of cold water, please.",請給我一杯冰水，謝謝。,water,legacy_review_required,passport-water-ex2,You should drink a cup of warm water every morning.,你應該每天早上喝一杯溫開水。,water,legacy_review_required,,,water,,,,
elementary-rice,rice,elementary-rice,米飯/飯,Food,10,elementary-rice-ex1,We usually eat rice and vegetables for dinner.,我們晚餐通常吃米飯和蔬菜。,rice,legacy_review_required,elementary-rice-ex2,We eat rice and fish for lunch at school.,我們在學校午餐吃米飯和魚。,rice,legacy_review_required,,,rice,,,,
elementary-noodles,noodles,elementary-noodles,麵條/麵,Food,10,elementary-noodles-ex1,Grandpa likes to eat hot beef noodles for lunch.,爺爺中午喜歡吃熱牛肉麵。,noodles,legacy_review_required,elementary-noodles-ex2,My sister likes to eat delicious noodles with soup.,我妹妹喜歡吃美味的湯麵。,noodles,legacy_review_required,,,noodles,,,,
passport-red,red,passport-red,紅色/紅色的,Colors,2,passport-red-ex1,She wore a pretty red dress to the party.,她穿著一件漂亮的紅洋裝去參加派對。,red,legacy_review_required,passport-red-ex2,The red crayon in my box is used to draw the sun.,我盒子裡的紅蠟筆是用來畫太陽的。,red,legacy_review_required,,,red,,,,
passport-blue,blue,passport-blue,藍色/藍色的,Colors,2,passport-blue-ex1,The sky is very clear and blue today.,今天的晴空非常清澈且蔚藍。,blue,legacy_review_required,passport-blue-ex2,I draw a blue bird flying high in the sky.,我畫了一隻在空中高飛的藍鳥。,blue,legacy_review_required,,,blue,,,,
passport-green,green,passport-green,綠色/綠色的,Colors,4,passport-green-ex1,The frogs are sitting on a big green leaf.,青蛙正坐在一個綠色的大葉子上。,green,legacy_review_required,passport-green-ex2,The tree leaves are green and fresh in spring.,春天的樹葉又綠又新鮮。,green,legacy_review_required,,,green,,,,
passport-yellow,yellow,passport-yellow,黃色/黃色的,Colors,7,passport-yellow-ex1,The yellow school bus stops in front of my house.,黃色的校車停在我家前面。,yellow,legacy_review_required,passport-yellow-ex2,My brother's favorite color is bright yellow.,我弟弟最喜歡的顏色是明亮的黃色。,yellow,legacy_review_required,,,yellow,,,,
elementary-one,one,elementary-one,一/一個,Numbers,4,elementary-one-ex1,I have only one apple left in my bag.,我的包包裡只剩下一個蘋果。,one,legacy_review_required,elementary-one-ex2,I got one correct answer and felt very happy.,我得到一個正確答案，感覺非常高興。,one,legacy_review_required,,,one,,,,
elementary-two,two,elementary-two,二/兩個,Numbers,2,elementary-two-ex1,There are two birds flying in the sky.,天上有兩隻鳥在飛。,two,legacy_review_required,elementary-two-ex2,Two students walked into the library together.,兩個學生一起走進了圖書館。,two,legacy_review_required,,,two,,,,
elementary-three,three,elementary-three,三/三個,Numbers,4,elementary-three-ex1,He has three storybooks in his desk drawer.,他的書桌抽屜裡有三本故事書。,three,legacy_review_required,elementary-three-ex2,Grandfather bought three sweet red apples for us.,爺爺為我們買了三個甜紅蘋果。,three,legacy_review_required,,,three,,,,
elementary-four,four,elementary-four,四/四個,Numbers,2,elementary-four-ex1,A year is divided into four different seasons.,一年被分為四個不同的季節。,four,legacy_review_required,elementary-four-ex2,Four birds are sitting on the school roof.,四隻鳥停在學校屋頂上。,four,legacy_review_required,,,four,,,,
passport-head,head,passport-head,頭,Body,9,passport-head-ex1,You should wear a helmet to protect your head.,你應該戴安全帽來保護你的頭部。,head,legacy_review_required,passport-head-ex2,Please wear a hat to protect your head from the hot sun.,請戴上帽子以保護你的頭部不受烈日曬傷。,head,legacy_review_required,,,head,,,,
passport-hand,hand,passport-hand,手,Body,9,passport-hand-ex1,Please raise your hand if you know the answer.,如果你知道答案，請舉手。,hand,legacy_review_required,passport-hand-ex2,We must wash our hands before having lunch.,我們午餐前必須洗手。,hand,legacy_review_required,,,hand,,,,
elementary-eye,eye,elementary-eye,眼睛,Body,9,elementary-eye-ex1,Keep your eyes open and look at the screen.,張開眼睛看著螢幕。,eye,legacy_review_required,elementary-eye-ex2,Please close your eyes and listen to the quiet music.,請閉上眼睛，聆聽這平靜的音樂。,eye,legacy_review_required,,,eye,,,,
elementary-foot,foot,elementary-foot,腳(單數),Body,9,elementary-foot-ex1,He hurt his left foot while playing soccer.,他在踢足球時弄傷了左腳。,foot,legacy_review_required,elementary-foot-ex2,"My foot feels cold, so I want to wear socks.",我的腳感覺冷，所以我想穿襪子。,foot,legacy_review_required,,,foot,,,,
passport-run,run,passport-run,跑/奔跑,Actions,9,passport-run-ex1,Do not run in the hallway; it is dangerous.,不要在走廊上奔跑，那很危險。,run,legacy_review_required,passport-run-ex2,Do not run too fast in the classroom.,不要在教室裡跑得太快。,run,legacy_review_required,,,run,,,,
passport-jump,jump,passport-jump,跳/跳躍,Actions,9,passport-jump-ex1,The energetic children love to jump on the trampoline.,精力充沛的孩子們喜歡在彈簧床上跳躍。,jump,legacy_review_required,passport-jump-ex2,The frog can jump very high into the air.,青蛙可以跳得非常高。,jump,legacy_review_required,,,jump,,,,
elementary-read,read,elementary-read,閱讀/讀,Actions,9,elementary-read-ex1,We read English stories in class every Tuesday.,我們每個星期二在課堂上讀英文故事。,read,legacy_review_required,elementary-read-ex2,Reading books every day makes us smarter.,每天讀書會讓我們更聰明。,read,legacy_review_required,,,read,,,,
elementary-write,write,elementary-write,寫/書寫,Actions,10,elementary-write-ex1,You need to write your name on this paper.,你需要這張紙上寫下你的名字。,write,legacy_review_required,elementary-write-ex2,Please write down your name on the notebook.,請在筆記本上寫下你的名字。,write,legacy_review_required,,,write,,,,
passport-morning,morning,passport-morning,早上/上午,Time,12,passport-morning-ex1,We say good morning to our teachers at school.,我們在學校跟老師們說早安。,morning,legacy_review_required,passport-morning-ex2,I enjoy the fresh air during my morning run.,我享受晨跑時的新鮮空氣。,morning,legacy_review_required,,,morning,,,,
elementary-afternoon,afternoon,elementary-afternoon,下午,Time,12,elementary-afternoon-ex1,Let us play basketball in the playground this afternoon.,我們今天下午去操場打籃球吧。,afternoon,legacy_review_required,elementary-afternoon-ex2,We have an exciting art lesson this afternoon.,我們今天下午有一堂精彩的美勞課。,afternoon,legacy_review_required,,,afternoon,,,,
elementary-today,today,elementary-today,今天,Time,11,elementary-today-ex1,What is the weather like in Taipei today?,今天台北的天氣怎麼樣？,today,legacy_review_required,elementary-today-ex2,Today is a great day to learn new English words.,今天是學習新英文單字的好日子。,today,legacy_review_required,,,today,,,,
junior-happy,happy,junior-happy,快樂的/高興的,Adjectives,14,junior-happy-ex1,We are very happy to hear the good news.,我們聽到這個好消息感到非常高興。,happy,legacy_review_required,junior-happy-ex2,My parents are happy when I share my stories with them.,當我和父母分享我的故事時，他們會很高興。,happy,legacy_review_required,,,happy,,,,
junior-difficult,difficult,junior-difficult,困難的/難的,Adjectives,14,junior-difficult-ex1,This math question is too difficult for me to solve.,這道數學題對我來說太難解了。,difficult,legacy_review_required,junior-difficult-ex2,"Even if this game is difficult, I will keep trying.",即使這個遊戲很難，我依然會繼續嘗試。,difficult,legacy_review_required,,,difficult,,,,
passport-bee,bee,passport-bee,蜜蜂,Animals,1,passport-bee-ex1,A busy bee is flying around the colorful flowers.,一隻忙碌的蜜蜂正在繽紛的花朵旁飛舞。,bee,legacy_review_required,passport-bee-ex2,The little bee works hard to make honey.,小蜜蜂辛勤地工作製造蜂蜜。,bee,legacy_review_required,,,bee,,,,
passport-cow,cow,passport-cow,母牛/乳牛,Animals,1,passport-cow-ex1,The cow eats green grass on the beautiful farm.,母牛在美麗的農場上吃綠草。,cow,legacy_review_required,passport-cow-ex2,The cow on the farm gives us fresh milk.,農場上的乳牛為我們提供新鮮牛奶。,cow,legacy_review_required,,,cow,,,,
passport-pet,pet,passport-pet,寵物,Animals,2,passport-pet-ex1,A rabbit can be a wonderful pet for children.,兔子可以是孩子們極佳的寵物。,pet,legacy_review_required,passport-pet-ex2,My pet cat likes to sleep on my lap.,我的寵物貓喜歡在我的大腿上睡覺。,pet,legacy_review_required,,,pet,,,,
elementary-pig,pig,elementary-pig,豬,Animals,2,elementary-pig-ex1,The pink pig is playing happily in the mud.,這隻粉紅色的豬正在泥巴裡玩得很高興。,pig,legacy_review_required,elementary-pig-ex2,The cute pig lives with other animals on the farm.,那隻可愛的豬和農場上的其他動物生活在一起。,pig,legacy_review_required,,,pig,,,,
junior-bear,bear,junior-bear,熊,Animals,2,junior-bear-ex1,We saw a big brown bear sleeping in the cave.,我們看到一隻大棕熊在洞穴裡睡覺。,bear,legacy_review_required,junior-bear-ex2,A bear eats fish and berries in the forest.,熊在森林裡吃魚和莓果。,bear,legacy_review_required,,,bear,,,,
passport-duck,duck,passport-duck,鴨/鴨子,Animals,2,passport-duck-ex1,The little duck swims behind its mother in the pond.,小鴨在池塘裡跟在牠媽媽後面游泳。,duck,legacy_review_required,passport-duck-ex2,The white duck made a funny sound in the water.,白鴨在水裡發出了有趣的聲音。,duck,legacy_review_required,,,duck,,,,
passport-frog,frog,passport-frog,青蛙,Animals,2,passport-frog-ex1,A green frog jumped out of the clean water.,一隻綠色的青蛙從乾淨的水中跳了出來。,frog,legacy_review_required,passport-frog-ex2,A green frog is sitting peacefully on a wet stone.,一隻綠色青蛙正安靜地坐在濕石頭上。,frog,legacy_review_required,,,frog,,,,
elementary-lion,lion,elementary-lion,獅子,Animals,3,elementary-lion-ex1,The lion is known as the king of the forest.,獅子被稱為森林之王。,lion,legacy_review_required,elementary-lion-ex2,We saw a big lion walking slowly in the zoo.,我們看到一隻大獅子在動物園裡慢慢走動。,lion,legacy_review_required,,,lion,,,,
passport-mice,mice,passport-mice,老鼠(複數),Animals,5,passport-mice-ex1,Our cat caught three small mice last night.,我們的小貓昨晚抓到了三隻小老鼠。,mice,legacy_review_required,passport-mice-ex2,The mice ran away quickly when they saw the big cat.,老鼠們看到大貓時飛快地逃跑了。,mice,legacy_review_required,,,mice,,,,
passport-hippo,hippo,passport-hippo,河馬,Animals,5,passport-hippo-ex1,The hippo stays in the water to keep cool.,河馬待在水裡以保持涼爽。,hippo,legacy_review_required,passport-hippo-ex2,The hippo opened its huge mouth to eat fruit.,河馬張開牠的大嘴巴吃水果。,hippo,legacy_review_required,,,hippo,,,,
passport-horse,horse,passport-horse,馬,Animals,5,passport-horse-ex1,The cowboy rode a fast black horse yesterday.,牛仔昨天騎著一隻跑得很快的黑馬。,horse,legacy_review_required,passport-horse-ex2,The horse ran across the green field very quickly.,那匹馬非常快速地跑過綠色草地。,horse,legacy_review_required,,,horse,,,,
passport-koala,koala,passport-koala,無尾熊,Animals,6,passport-koala-ex1,A cute koala is hugging the eucalyptus tree.,一隻可愛的無尾熊正抱著尤加利樹。,koala,legacy_review_required,passport-koala-ex2,We watched the koala eating eucalyptus leaves in the tree.,我們看著無尾熊在樹上吃尤加利樹葉。,koala,legacy_review_required,,,koala,,,,
passport-mouse,mouse,passport-mouse,老鼠(單數),Animals,6,passport-mouse-ex1,The clever little mouse escaped from the cat.,聰明的小老鼠從貓咪手裡逃脫了。,mouse,legacy_review_required,passport-mouse-ex2,A tiny mouse is eating a piece of cheese quietly.,一隻小老鼠正在安靜地吃一片起司。,mouse,legacy_review_required,,,mouse,,,,
passport-panda,panda,passport-panda,大貓熊/熊貓,Animals,6,passport-panda-ex1,The giant panda is eating fresh bamboo leaves.,大貓熊正在吃新鮮的竹葉。,panda,legacy_review_required,passport-panda-ex2,The baby panda is playing with a small wood block.,熊貓寶寶正在玩一塊小木頭。,panda,legacy_review_required,,,panda,,,,
passport-sheep,sheep,passport-sheep,綿羊/羊,Animals,4,passport-sheep-ex1,A group of white sheep are grazing on the hill.,一群白羊正在山丘上吃草。,sheep,legacy_review_required,passport-sheep-ex2,The farmer shears the wool from the sheep in summer.,農夫在夏天剪掉綿羊身上的羊毛。,sheep,legacy_review_required,,,sheep,,,,
passport-snake,snake,passport-snake,蛇,Animals,6,passport-snake-ex1,Be careful! There is a long snake in the grass.,小心！草叢裡有一條長蛇。,snake,legacy_review_required,passport-snake-ex2,A green snake is climbing up a tall tree.,一條綠蛇正往高樹上爬。,snake,legacy_review_required,,,snake,,,,
passport-whale,whale,passport-whale,鯨魚,Animals,6,passport-whale-ex1,The blue whale is the largest animal in the ocean.,藍鯨是海洋中最大的動物。,whale,legacy_review_required,passport-whale-ex2,The huge whale made a big splash in the ocean.,巨大的鯨魚在海洋中激起了大水花。,whale,legacy_review_required,,,whale,,,,
passport-zebra,zebra,passport-zebra,斑馬,Animals,6,passport-zebra-ex1,The zebra has beautiful black and white stripes.,斑馬有美麗的黑白條紋。,zebra,legacy_review_required,passport-zebra-ex2,We took a picture of a beautiful zebra yesterday.,我們昨天拍了一隻美麗斑馬的照片。,zebra,legacy_review_required,,,zebra,,,,
junior-animal,animal,junior-animal,動物,Animals,8,junior-animal-ex1,We should protect wild animals and their forests.,我們應該保護野生動物和牠們的森林。,animal,legacy_review_required,junior-animal-ex2,A dog is a very helpful animal to humans.,狗是對人類非常有幫助的動物。,animal,legacy_review_required,,,animal,,,,
junior-monkey,monkey,junior-monkey,猴子,Animals,7,junior-monkey-ex1,The funny monkey is climbing the tall banana tree.,這隻有趣的猴子正在爬高高的香蕉樹。,monkey,legacy_review_required,junior-monkey-ex2,The clever monkey is playing with a round orange.,聰明的猴子正在玩一顆圓圓的橘子。,monkey,legacy_review_required,,,monkey,,,,
passport-spider,spider,passport-spider,蜘蛛,Animals,7,passport-spider-ex1,A spider is spinning a web in the corner.,一隻蜘蛛正角落裡織網。,spider,legacy_review_required,passport-spider-ex2,A little spider is making its web on the wall.,一隻小蜘蛛正在牆上織網。,spider,legacy_review_required,,,spider,,,,
passport-turtle,turtle,passport-turtle,烏龜/海龜,Animals,7,passport-turtle-ex1,The turtle walks very slowly but can swim fast.,烏龜爬得很慢但是游得很快。,turtle,legacy_review_required,passport-turtle-ex2,The small turtle rests on a rock in the park pond.,小烏龜在公園池塘的岩石上休息。,turtle,legacy_review_required,,,turtle,,,,
junior-chicken,chicken,junior-chicken,雞/雞肉,Animals,7,junior-chicken-ex1,The farmer feeds the hungry chickens every morning.,農夫每天早上餵飢餓的雞。,chicken,legacy_review_required,junior-chicken-ex2,The hen walks with three baby chickens in the yard.,母雞帶著三隻小雞在院子裡走動。,chicken,legacy_review_required,,,chicken,,,,
passport-elephant,elephant,passport-elephant,大象,Animals,8,passport-elephant-ex1,The giant elephant is spraying water with its long nose.,大象正用牠的長鼻子噴水。,elephant,legacy_review_required,passport-elephant-ex2,The elephant uses its long trunk to pick up leaves.,大象用牠的長鼻子來撿樹葉。,elephant,legacy_review_required,,,elephant,,,,
passport-butterfly,butterfly,passport-butterfly,蝴蝶,Animals,8,passport-butterfly-ex1,A beautiful butterfly is sitting on the yellow flower.,一隻美麗的蝴蝶停在黃花上。,butterfly,legacy_review_required,passport-butterfly-ex2,A beautiful butterfly landed on my sister's shoulder.,一隻美麗的蝴蝶落在她姊姊/妹妹的肩膀上。,butterfly,legacy_review_required,,,butterfly,,,,
elementary-bag,bag,elementary-bag,書包/提袋,Clothing,1,elementary-bag-ex1,Put your pencil box and textbooks into your bag.,把你的鉛筆盒和教科書放進包包裡。,bag,legacy_review_required,elementary-bag-ex2,She packed her lunchbox inside her school bag.,她把便當盒裝進書包裡。,bag,legacy_review_required,,,bag,,,,
passport-cap,cap,passport-cap,帽子/便帽,Clothing,1,passport-cap-ex1,You should wear a cap to block the hot sun.,你應該戴一頂棒球帽來遮擋炎熱的太陽。,cap,legacy_review_required,passport-cap-ex2,He wore a blue baseball cap to school today.,他今天戴了一頂藍色棒球帽上學。,cap,legacy_review_required,,,cap,,,,
junior-hat,hat,junior-hat,帽子(有邊的),Clothing,1,junior-hat-ex1,The magician pulled a cute rabbit out of his hat.,魔術師從他的帽子裡拉出一隻可愛的兔子。,hat,legacy_review_required,junior-hat-ex2,She wore a straw hat to protect her face from the sun.,她戴了一頂草帽以遮陽。,hat,legacy_review_required,,,hat,,,,
junior-coat,coat,junior-coat,外套/大衣,Clothing,2,junior-coat-ex1,Put on your warm coat before going outside.,出去之前穿上你溫暖的大衣。,coat,legacy_review_required,junior-coat-ex2,Please wear your thick coat because it is cold outside.,因為外面很冷，請穿上你的厚外套。,coat,legacy_review_required,,,coat,,,,
junior-wear,wear,junior-wear,穿/戴,Actions,3,junior-wear-ex1,I like to wear comfortable T-shirts on weekends.,我週末喜歡穿舒適的T恤。,wear,legacy_review_required,junior-wear-ex2,Please wear your helmet when you ride a bicycle.,當你騎自行車時請戴安全帽。,wear,legacy_review_required,,,wear,,,,
elementary-dress,dress,elementary-dress,洋裝/禮服,Clothing,4,elementary-dress-ex1,She chose a beautiful blue dress for her birthday.,她為她的生日選了一件美麗的藍色洋裝。,dress,legacy_review_required,elementary-dress-ex2,My sister wore a white dress to the piano concert.,我妹妹穿著一件白色洋裝去鋼琴音樂會。,dress,legacy_review_required,,,dress,,,,
junior-pants,pants,junior-pants,長褲,Clothing,16,junior-pants-ex1,My father bought a new pair of black pants.,我爸爸買了一條新的黑長褲。,pants,legacy_review_required,junior-pants-ex2,He wore brown pants and a green sweater today.,他今天穿著長褲和綠色毛衣。,pants,legacy_review_required,,,pants,,,,
junior-shirt,shirt,junior-shirt,襯衫/男襯衫,Clothing,14,junior-shirt-ex1,He wore a clean white shirt to school today.,他今天穿著乾淨的白襯衫去學校。,shirt,legacy_review_required,junior-shirt-ex2,My father wears a clean white shirt to work.,我爸爸穿著一件乾淨的白襯衫去工作。,shirt,legacy_review_required,,,shirt,,,,
elementary-t-shirt,T-shirt,elementary-t-shirt,T恤/短袖圓領運動衫,Clothing,11,elementary-t-shirt-ex1,We all wear yellow T-shirts for the school sports day.,我們在學校運動會那天都穿黃色T恤。,T-shirt,legacy_review_required,elementary-t-shirt-ex2,My brother wears a white T-shirt to play basketball.,我弟弟穿著一件白色T恤去打籃球。,T-shirt,legacy_review_required,,,T-shirt,,,,
elementary-skirt,skirt,elementary-skirt,裙子,Clothing,4,elementary-skirt-ex1,The school girls wear navy blue skirts as uniforms.,學校的女學生穿深藍色的裙子作為制服。,skirt,legacy_review_required,elementary-skirt-ex2,The girls wore blue skirts for the school show.,女孩們穿著藍色裙子參加學校表演。,skirt,legacy_review_required,,,skirt,,,,
